--- Terminal on /dev/ttyUSB0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
GEARS MODE
[FeedbackStepper] Shift from 0 to -293872
Expected (avg) delay: 485	Measured (avg) delay: 518.31
Encoder reading: -356454		Average error: -0.64
Total correction: 12876
-81	-96	-5
-80	-97	-4
-80	-112	7
-80	-120	13
-80	-132	23
-80	-135	25
-80	-131	22
-80	-129	20
-80	-132	23
-80	-121	14
-80	-112	7
-80	-107	3
-80	-93	-7
-80	-91	-8
-80	-86	-12
-80	-82	-15
-80	-77	-19
-80	-82	-15
-80	-83	-15
-80	-82	-15
-80	-93	-7
-80	-97	-4
-80	-106	2
-80	-106	2
-80	-115	9
-80	-125	17
-80	-117	11
-80	-123	16
-80	-122	15
-80	-113	8
-80	-103	0
-80	-100	-1
-80	-94	-6
-80	-90	-9
-80	-80	-17
-80	-82	-15
-80	-83	-15
-80	-77	-19
-80	-85	-13
-80	-90	-9
-80	-92	-8
-96	-120	-2
-80	-113	8
-80	-119	12
-80	-125	17
-80	-134	24
-80	-136	26
-80	-133	23
-80	-129	20
-80	-122	15
-80	-109	5
-80	-103	0
-80	-98	-3
-80	-89	-10
-80	-80	-17
-80	-83	-15
-80	-80	-17
-80	-79	-18
-80	-84	-14
-80	-86	-12
-80	-95	-5
-80	-94	-6
-80	-105	2
-80	-115	9
-80	-110	5
-80	-124	16
-80	-126	18
-96	-140	13
-80	-118	12
-80	-112	7
-80	-105	2
-80	-93	-7
-80	-92	-8
-80	-87	-12
-80	-85	-13
-80	-76	-20
-80	-83	-15
-80	-83	-15
-80	-81	-16
-80	-91	-8
-80	-97	-4
-80	-105	2
-80	-109	5
-80	-120	13
-80	-130	21
-80	-131	22
-80	-137	27
-80	-137	27
-80	-123	16
-80	-120	13
-80	-112	7
-80	-102	0
-80	-92	-8
-80	-88	-11
-80	-83	-15
-80	-79	-18
-80	-81	-16
-80	-82	-15
-80	-85	-13
-80	-82	-15
-80	-96	-4
-80	-102	0
-80	-106	2
-80	-109	5
-80	-119	12
-80	-123	16
-80	-119	12
-80	-121	14
-80	-120	13
-80	-111	6
-80	-99	-2
-80	-99	-2
-80	-92	-8
-80	-87	-12
-80	-79	-18
-80	-82	-15
-80	-81	-16
-80	-80	-17
-80	-86	-12
-80	-91	-8
-80	-97	-4
-80	-99	-2
-80	-113	8
-80	-123	16
-80	-123	16
-80	-138	27
-80	-136	26
-80	-130	21
-80	-131	22
-80	-119	12
-80	-112	7
-80	-98	-3
-80	-94	-6
-80	-90	-9
-80	-79	-18
-80	-82	-15
-80	-81	-16
-80	-82	-15
-80	-80	-17
-80	-90	-9
-80	-94	-6
-80	-95	-5
-80	-109	5
-80	-113	8
-80	-120	13
-80	-118	12
-80	-123	16
-80	-123	16
-80	-112	7
-80	-111	6
-80	-107	3
-80	-97	-4
-80	-87	-12
-80	-88	-11
-80	-83	-15
-80	-78	-19
-80	-81	-16
-80	-83	-15
-80	-87	-12
-80	-91	-8
-80	-91	-8
-80	-107	3
-80	-111	6
-80	-118	12
-80	-129	20
-80	-136	26
-80	-132	23
-80	-136	26
-80	-129	20
